UID,human_author_probability,,reason
SYNTH-0011,85,1,"This comment reads as largely human-written. Several features support this: (1) The opening anecdote about the mother in the ICU is specific and emotionally grounded — St. Luke's, Kansas City, October 2023, forty minutes, a paper towel diagram, the doctor changing his mind twice. This level of concrete, idiosyncratic detail is characteristic of genuine personal experience. (2) The author explicitly acknowledges uncertainty ('I'm genuinely uncertain about billing software and scheduling, I'll grant that'), which is a natural human hedge rather than a rhetorical device. (3) The comment ends mid-sentence ('at a conference in'), which is a strong indicator of human authorship — an AI would almost certainly complete its thought. (4) The author self-identifies as working in public health and explicitly disclaims expertise in clinical medicine, a modest and realistic self-positioning. (5) The tone shifts naturally between personal narrative, policy critique, and technical concern without feeling artificially balanced. (6) The reference to the 2019 Science study on algorithmic bias is accurate and cited with appropriate specificity. Some features could hint at AI — the structured progression from anecdote to policy argument is fairly smooth, and phrases like 'diffusion of responsibility' and 'propagation of whatever the next version of that problem is' are polished — but the abrupt, incomplete ending is the strongest single indicator of human authorship, as it suggests the comment was cut off during submission."
SYNTH-0012,85,1,"This comment reads as genuinely human-authored for several reasons: (1) It opens with a specific, emotionally grounded personal anecdote (mother in ICU at Vanderbilt, February 2023, specific pulmonologist detail) that feels authentic rather than constructed. (2) The writer explicitly hedges on citations ('I'd have to look up the specific citations to give you the exact numbers'), which is a distinctly human admission of imperfect recall rather than the confident, polished sourcing AI tends to produce. (3) The closing line ('I'm not sure this comment will be read carefully given how many there probably are') reflects genuine human uncertainty and mild resignation, not the confident advocacy tone AI typically adopts. (4) The argument has some structural coherence but also meanders naturally — moving from personal story to policy critique to workforce concerns to a somewhat abrupt ending — rather than following a clean AI-style arc. (5) The reference to the Optum 2019 algorithm case is accurate and specific, consistent with someone who has read about this topic. (6) The phrase 'I'm not being sentimental about that, I genuinely don't think it would have' reads as authentic self-correction typical of human writing. (7) There are minor stylistic inconsistencies and informal constructions ('the accountability just sort of dissolves') that feel human. Some elements like the 'diffusion of responsibility' framing and the structured policy critique could suggest AI assistance, but the overall texture, hedging, and personal voice point strongly to human authorship."
SYNTH-0013,85,1,"This comment reads as largely human-written. Several features support this: (1) The opening anecdote is specific and emotionally grounded — naming the hospital, city, dates, and a doctor whose name the author admits they may be misspelling, which is a distinctly human hedge. (2) The narrative arc moves from personal experience to policy concern in a way that feels organic rather than structured by an AI's tendency to organize arguments into neat parallel sections. (3) The author explicitly acknowledges uncertainty and ambivalence ('I'm not completely dismissing them,' 'that sounds soft, maybe') in ways that feel authentic rather than performative. (4) The reference to ProPublica's COMPAS reporting is specific and used in a somewhat loose analogical way — an AI would more likely cite it more precisely or hedge more carefully. (5) The final paragraph about rural/critical access hospitals is a concrete, specific policy concern that reflects genuine domain knowledge. Some features give slight pause: the comment is well-organized and covers multiple policy dimensions (bias, accountability, reimbursement, patient dignity) in a way that could suggest AI scaffolding. The phrase 'that phrase does a lot of work it hasn't earned' is somewhat literary. However, the overall texture — including the emotional register, the self-corrections, and the specific personal memory — strongly suggests a human author, possibly one who is educated and engaged with policy issues."
SYNTH-0014,87,1,"This comment reads as genuinely human-authored for several reasons: (1) It opens with a specific, personal anecdote about the author's mother at a named hospital in a named city with a specific date, with vivid, emotionally resonant detail ('a tired doctor who had seen something similar once before and trusted her gut') that feels authentic rather than illustrative. (2) The author explicitly identifies themselves as a medical social worker with 18 years of experience, which grounds the perspective and explains the level of knowledge displayed. (3) There are authentic hedges and self-corrections throughout ('I'll admit I'm not a clinician,' 'I believe that was around 2019,' 'I'm also honestly not sure what to make of'). (4) The comment includes a genuine spelling error ('commerical' instead of 'commercial'), which is a natural human mistake. (5) The argument structure is somewhat meandering and self-aware about its own incompleteness, ending with an unresolved question about scope rather than a tidy conclusion. (6) The tone is conversational and occasionally colloquial ('I guess what I'd ask,' 'that's not a governance framework, that's an abdication of one'). (7) The reference to ProPublica reporting with an approximate date and acknowledged uncertainty feels like genuine human recall rather than AI precision. Minor AI-like features include some rhetorical polish and the use of an em dash, but these are outweighed by the human markers above."
SYNTH-0015,72,1,"The comment has several strong markers of human authorship: a specific, emotionally grounded personal anecdote with concrete details (St. Luke's in Cedar Rapids, February 2023, 74-year-old mother, hip replacement, four-hour delay), a self-acknowledged limitation ('I don't have a specific legal background'), and an uneven, somewhat rambling structure that feels authentic rather than polished. The writer circles back to the personal story, which is a natural human rhetorical move. The citation of the Obermeyer et al. 2019 Science study is specific and accurate, which could go either way — a knowledgeable human or a well-prompted AI. Some features give slight pause: the prose is unusually well-organized for a lay commenter, moving logically from personal experience to accountability to efficiency framing to equity concerns; the paragraph structure is clean and each paragraph addresses a distinct theme; the phrase 'accelerating adoption without solving that is not a neutral act' has a polished, aphoristic quality; and the overall rhetorical arc (personal story → systemic critique → specific ask) is smoother than typical lay comments. However, the voice is consistent throughout, the self-deprecation about legal expertise feels genuine, and the emotional register is restrained rather than performatively balanced. On balance, this reads more like a thoughtful, well-read layperson than AI output."
SYNTH-0016,91,1,"This comment reads as genuinely human-authored for several reasons: (1) It opens with a specific, emotionally grounded personal anecdote (mother's hospitalization at Mercy General in Sacramento, February 2023) that anchors the entire argument and is referenced again at the end with authentic emotional texture ('I wonder sometimes whether she had to document that override'). (2) The writer explicitly acknowledges uncertainty about citations ('I believe published in JAMA or one of the JAMA specialty journals, I'm sorry I don't have the exact citation in front of me'), which is a hallmark of genuine human recall rather than AI precision or fabrication. (3) The argument is not perfectly balanced or structured — it meanders somewhat, returns to personal concerns, and admits limitations ('I have no way of knowing'). (4) The tone is conversational and self-aware ('I want to be honest that I'm not opposed to technology in medicine categorically'), which feels authentic rather than performative. (5) The specific vendor names (Epic, Nuance) and the reference to sepsis detection wrongful death suits feel like genuine knowledge from someone who has done real reading. (6) The closing paragraph circles back to the personal story in a way that feels emotionally authentic rather than rhetorically constructed. (7) The critique of the RFI framing ('accelerating adoption is right there in the title') shows genuine engagement with the actual document. Minor AI-like features include some smooth transitions and a fairly organized structure, but these are outweighed by the human markers."
SYNTH-0017,87,1,"The comment reads as genuinely human-authored for several reasons: (1) It opens with a specific, emotionally grounded personal anecdote (mother in ICU at Brigham and Women's, February 2023, eleven days) that feels authentic rather than illustrative; (2) the writer explicitly identifies as a social worker with ~20 years experience with elderly patients, a specific professional identity that shapes the argument throughout; (3) the prose has natural variation in sentence rhythm and occasional informal constructions ('reading her,' 'that feels like a significant thing to skip over'); (4) the argument is not perfectly balanced — it is one-sided and critical, which is more characteristic of genuine human advocacy than AI-generated text that tends toward false balance; (5) the citation of Obermeyer's 2019 Science study is specific and accurate, suggesting real familiarity with the literature rather than generic AI hedging; (6) the emotional register shifts naturally between personal grief, professional concern, and policy critique; (7) the ending on workforce displacement feels like a genuine afterthought ('I also just want to say') rather than a structured conclusion. Some features that could hint at AI include the relatively polished paragraph structure and the comprehensive coverage of multiple policy angles, but these are consistent with an educated, experienced professional writer. The personal narrative anchor and the one-sided advocacy tone are strong human signals."
SYNTH-0018,87,1,"This comment reads as strongly human-written. Key indicators: (1) The narrative is grounded in a specific, emotionally resonant personal story with concrete details (St. Luke's in Kansas City, February 2023, 48 hours, three hours on the phone, day nine fall, eleven days total) that feel lived-in rather than illustrative. (2) The comment ends abruptly mid-sentence ('right now I haven't seen anything from HHS that'), which is a hallmark of genuine human writing — AI almost never truncates itself this way. (3) The self-deprecating asides ('I'm not a Luddite about this, honestly,' 'I'm a social worker, not a physician,' 'I don't know what the right regulatory answer is') feel authentically human in their hedging and self-positioning. (4) The rhetorical rhythm is uneven in a human way — some paragraphs are tightly argued, others are more rambling and emotional. (5) The specific clinical details (osteoporotic, walkup apartment, peer-to-peer review request) are the kind of granular, contextually appropriate details a person with direct experience would include. (6) The emotional arc — from personal grievance to policy critique to personal resolution to tragedy — follows a natural human storytelling pattern rather than a structured AI outline. (7) The bias examples (dermatology AI, cardiac risk) are real and documented, cited without excessive hedging or over-qualification typical of AI. Minor AI-like features: the paragraph on reimbursement is somewhat more structured and polished than the rest, and the accountability paragraph has a slightly more formal rhetorical quality. But overall the human signals strongly dominate."
SYNTH-0019,72,1,"The comment has several strong markers of human authorship: the opening personal anecdote about a specific nurse named Darnell at a specific hospital (St. Luke's in Kansas City) with a specific date (February 2023) feels genuinely personal and emotionally grounded. The writing has an authentic, somewhat rambling quality — the comment ends mid-sentence ('The liability question alone -- I've looked at some of the existing guidance and it's genuinely'), which is a strong human marker (AI would almost never truncate like this). The tone is conversational and self-aware ('I'm sure this will read as sentimental'). The argument builds organically from personal experience to policy critique. However, there are some features that give slight pause: the structured progression through multiple policy concerns (safety literature, accountability, bias, prospective evaluation, liability) is fairly organized for a personal comment; the JAMA citation is specific but unverifiable; the rhetorical move of 'I'm not saying no AI anywhere ever' is a common AI hedge pattern; and some sentences have a polished, essay-like quality. The truncated ending is the strongest evidence of human authorship — an AI would complete its thought. Overall, this reads as a thoughtful, educated human commenter who may have organized their thoughts carefully before writing."
SYNTH-0020,72,1,"Several features point toward human authorship: the specific personal anecdote (mother in ICU, St. Francis Medical Center in Lynwood, California, February, eleven days, sepsis) with emotionally grounded detail; the self-deprecating closing identifying as a high school history teacher from Torrance who found the RFI hard to parse; the admission of uncertainty about whether they addressed the right questions; the somewhat meandering structure that doesn't follow a clean policy-brief format. The citation of the Obermeyer et al. 2019 Science study is accurate and specific, which could go either way — a knowledgeable human or a well-prompted AI. Some features give me pause: the prose is unusually polished and well-organized for someone claiming to be a non-expert; the argument flows with a clarity and rhetorical balance (personal story → accountability concern → bias concern → administrative burden caveat → specific asks → closing reflection) that is more structured than typical lay comments; the phrase 'cause harm at scale' and 'diffusion of responsibility' are somewhat policy-wonk formulations; the paragraph transitions are smooth; the closing humanizing detail ('high school history teacher') feels like it could be a deliberate AI technique to appear human. On balance, the specific local details, the emotional texture, the self-doubt, and the slightly imperfect policy framing tip me toward human authorship, though the overall polish keeps me from being highly confident."
SYNTH-0021,72,1,"The comment has several strong human indicators: a specific, emotionally grounded personal anecdote with named individuals (Dr. Anand Krishnaswamy, Emory University Hospital, February 2023), a specific JAMA Internal Medicine 2021 citation about racial bias in algorithms, and a conversational, somewhat uneven rhetorical structure. The writer acknowledges counterarguments ('I understand there are efficiency arguments. I do.') in a way that feels genuine rather than formulaic. The closing line is evocative and personal in a way that feels authentic. However, there are some features that give pause: the comment is unusually well-organized for a public comment, moving systematically through accountability, workforce, reimbursement, and recommendations in a way that resembles AI structuring. The paragraph transitions are smooth and the policy arguments are comprehensively balanced. The phrase 'that is not hypothetical, that is a structural feature' has a slightly rhetorical polish. The workforce paragraph's demographic framing ('disproportionately women, disproportionately people of color') follows a pattern common in AI-generated progressive policy commentary. Overall, the personal narrative anchor and specific details tip the balance toward human authorship, though the structural polish introduces some uncertainty."
SYNTH-0022,85,1,"The comment reads as genuinely human-authored for several reasons: (1) It opens with a specific, emotionally grounded personal anecdote (mother in ICU, Mercy General, Cincinnati, February 2023) with concrete sensory details (plastic chair, 10pm) that feel lived-in rather than constructed. (2) The argument is not perfectly balanced — it is clearly one-sided and emotionally driven, which is characteristic of human advocacy writing. (3) The writer explicitly acknowledges uncertainty ('One thing I genuinely don't know') and limits their own position ('I don't think AI has no role in healthcare. That's not my position.'), which reflects authentic human hedging rather than AI's tendency toward comprehensive coverage. (4) The reference to the United Healthcare nH Predict lawsuit is specific and accurate, and the way it's introduced ('There was a lawsuit in 2023... I think about that a lot') feels like a human recalling something they read rather than an AI citing a source. (5) The prose has some irregularities and informal constructions ('please don't. Or at least slow down considerably') that feel natural. (6) The final line ('There's also no clear mechanism I can see in the RFI for patients to opt out.') is abrupt and tacked on, which is a very human way to end — remembering one more point. Some features could hint at AI (the structured progression of arguments, the clean paragraph transitions), but overall the personal voice, emotional grounding, and argumentative imperfections strongly suggest human authorship."
SYNTH-0023,72,1,"The comment has several strong markers of human authorship: a specific, emotionally grounded personal anecdote with named details (St. Luke's Hospital, Kansas City, February 2023, Dr. Reyes), an abrupt and unfinished final sentence that feels genuinely human, hedging language ('I may be misremembering some of the specifics'), and a self-deprecating acknowledgment of the author's non-expert status. The narrative arc from personal experience to policy critique is natural rather than formulaic. However, there are some features that give slight pause: the comment is unusually well-structured for a lay person, moving systematically through safety, accountability, and workforce dimensions in a way that resembles AI-generated policy commentary; the paragraph on sepsis algorithms and racial bias reads somewhat like a summarized literature reference; and the rhetorical move of reframing the question ('the question should be...') is a common AI pattern. The unfinished ending is the strongest human signal — it's hard to imagine an AI leaving a sentence incomplete — and the emotional specificity of the final paragraph about Dr. Reyes coming in on her day off feels authentic. On balance, this reads as a thoughtful, well-read human author, possibly with some policy background, rather than AI-generated text."
SYNTH-0024,85,1,"This comment reads as largely human-written. The opening anecdote about the author's mother in the ICU is specific, emotionally grounded, and detailed in a way that feels authentic (St. Luke's in Kansas City, February 2023, 2 in the morning, eleven days, twenty-year nurse). The argument builds organically from personal experience to policy critique without feeling formulaic. The writing has genuine rhetorical personality — phrases like 'the word accelerating is doing a lot of work in that framing' and 'moving fast and finding out later' feel like a real person's voice. The comment ends mid-sentence, which is a strong indicator of human authorship (an AI would almost certainly complete its thought). The references to specific real-world examples (UnitedHealth's nH Predict tool, MIT/Stanford research on bias) are plausible and grounded. The tone is measured but personal, with genuine frustration showing through. There are no telltale AI patterns like perfectly balanced tripartite structures, excessive hedging with 'it is worth noting,' or overly smooth transitions. The incomplete final sentence is the most compelling evidence of human authorship."
SYNTH-0025,72,1,"The comment has several strong human markers: a specific, emotionally grounded personal anecdote (mother in ICU, Bakersfield, February 2023, named hospital, specific doctor behavior) that feels genuinely lived-in rather than illustrative; an abrupt, unfinished ending ('and I'm not sure either of those things') which is a distinctly human artifact unlikely in AI output; colloquial asides like 'or whatever, fine' and 'keeps me up at night honestly'; and a self-aware disclaimer ('I don't have a tidy policy recommendation to close with') that reads as authentic self-deprecation. The comment also cites real, verifiable sources (UCSF pulse oximeter research, ProPublica/UnitedHealth nH Predict investigation) with appropriate specificity. However, some features give slight pause: the rhetorical structure is quite polished and moves systematically through accountability, bias, framing, and clinical judgment in a way that feels organized; the prose is consistently fluent without the false starts or repetitions typical of unedited human writing; and the closing philosophical turn ('efficient for whom') has a slightly aphoristic quality. On balance, the personal narrative specificity, the incomplete final sentence, and the colloquial register strongly suggest human authorship, with the polish possibly reflecting an educated, careful writer rather than AI generation."
SYNTH-0026,85,1,"This comment reads as highly personal and grounded in specific lived experience. The opening anecdote about the mother's ICU stay at 'Mercy General in Cincinnati' with a nurse named 'Darlene' is concrete and emotionally resonant in a way that feels authentic. The writer identifies as a hospital social worker in Ohio and describes a specific workplace experience with a readmission risk-stratification tool rolled out 'about eighteen months ago' — the kind of imprecise, hedged recollection typical of human memory. The rhetorical structure moves naturally from personal experience to professional observation to policy critique without feeling artificially balanced. The sentence 'Patients are not beta testers' is punchy and memorable in a human way. The admission 'I don't know if anyone tracked outcomes from that systematically but I have my doubts' reflects genuine epistemic humility and uncertainty rather than AI's tendency toward confident completeness. The final paragraph about the FDA's iterative change exemption shows specific technical knowledge consistent with someone who works in healthcare policy adjacent spaces. Minor features that could suggest AI: the comment is well-organized and covers multiple policy dimensions systematically, and the prose is quite clean. However, the overall voice, the specific personal details, the hedged language, and the genuine frustration expressed throughout feel authentically human."
SYNTH-0027,72,1,"The comment has several strong markers of human authorship: it opens with a specific, emotionally grounded personal anecdote (mother in ICU at St. Luke's in Kansas City, February 2023) with concrete sensory details ('reading her face'); it explicitly disclaims sentimentality ('Not because I'm sentimental about doctors, I've had plenty of bad ones'); it acknowledges the limits of its own knowledge ('I don't have a citation for that, it's more of an intuition'); it references a specific real-world article (ProPublica 2023 on sepsis algorithms) in a way that feels like genuine recall rather than fabricated citation; and it ends with a nuanced concession that partially supports AI in administrative tasks, which is a realistic human hedge rather than a perfectly balanced rhetorical move. The voice is consistently first-person and somewhat conversational, with run-on constructions and informal asides. However, there are some features that give slight pause: the argument is unusually well-structured for a public comment, moving systematically from personal experience → accountability gap → bias → regulatory inadequacy → workforce concerns → partial concession; the paragraph on bias is notably polished and covers all the standard talking points in a balanced, comprehensive way; the phrase 'diffusion of responsibility' is a somewhat technical term deployed smoothly; and the overall rhetorical arc is cleaner than most organic public comments. These features could reflect a well-educated, policy-aware human writer rather than AI, and the personal details and explicit epistemic humility tip the balance toward human authorship."
SYNTH-0028,85,1,"The comment has strong markers of human authorship: a specific, personal anecdote about a mother's hospitalization at a named institution (UCSF) with a concrete date (September 2023); a professional self-identification as a social worker in Fresno, California with an explicit disclaimer about not being a physician; a citation of a real study (Stanford/JAMA Network Open 2023 on sepsis algorithms and racial disparities) with appropriately hedged recall ('I think it was published...'); genuine uncertainty expressed ('I genuinely don't know the answer to that'); and a policy ask (moratorium) that acknowledges it goes against the department's apparent direction. The tone is conversational and somewhat meandering in a natural way, with rhetorical questions that feel organic rather than structured. The argument builds from personal experience to professional observation to policy concern in a way that feels lived-in rather than templated. There are minor imperfections in phrasing and the reasoning is not perfectly balanced or symmetrical. The comment does have some features that could suggest AI assistance — notably the relatively clean paragraph structure and the sophisticated policy vocabulary — but the personal specificity, the hedged citation, and the self-aware professional positioning are more consistent with a thoughtful human writer than with AI generation."
