row_number,uid,original_document_id,type,gpt-5.4-mini,,,,gemini-3.1-flash-lite-preview-redo,,,,gemini-3.1-flash-lite-preview,,,,claude-haiku-4-5,,,,gemini-3.1-pro-preview,,,,AI-Generated?
23,UID-0023,SYNTH-0033,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
24,UID-0024,HHS-ONC-2026-0001-0430,real,78,real,1,,85,real,1,,95,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
25,UID-0025,HHS-ONC-2026-0001-0120,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,30,synthetic,0,,TRUE
26,UID-0026,HHS-ONC-2026-0001-0021,real,88,real,1,,85,real,1,,85,real,1,,82,real,1,,99,real,1,,FALSE
27,UID-0027,HHS-ONC-2026-0001-0351,real,18,synthetic,0,,80,real,1,,40,synthetic,0,,25,synthetic,0,,95,real,1,,TRUE
28,UID-0028,HHS-ONC-2026-0001-0046,real,18,synthetic,0,,20,synthetic,0,,30,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
29,UID-0029,HHS-ONC-2026-0001-0173,real,72,real,1,,85,real,1,,80,real,1,,72,real,1,,20,synthetic,0,,FALSE
30,UID-0030,HHS-ONC-2026-0001-0228,real,72,real,1,,85,real,1,,85,real,1,,82,real,1,,98,real,1,,FALSE
31,UID-0031,HHS-ONC-2026-0001-0015,real,72,real,1,,80,real,1,,85,real,1,,82,real,1,,20,synthetic,0,,FALSE
32,UID-0032,HHS-ONC-2026-0001-0320,real,78,real,1,,90,real,1,,90,real,1,,85,real,1,,0,synthetic,0,,FALSE
33,UID-0033,SYNTH-0001,synthetic,18,synthetic,1,,20,synthetic,1,,40,synthetic,1,,75,real,0,,95,real,0,,FALSE
34,UID-0034,HHS-ONC-2026-0001-0049,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
35,UID-0035,SYNTH-0045,synthetic,78,real,0,,90,real,0,,90,real,0,,85,real,0,,90,real,0,,FALSE
36,UID-0036,HHS-ONC-2026-0001-0407,real,72,real,1,,85,real,1,,85,real,1,,75,real,1,,0,synthetic,0,,FALSE
37,UID-0037,HHS-ONC-2026-0001-0300,real,92,real,1,,80,real,1,,85,real,1,,85,real,1,,100,real,1,,FALSE
38,UID-0038,HHS-ONC-2026-0001-0012,real,18,synthetic,0,,80,real,1,,85,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
39,UID-0039,HHS-ONC-2026-0001-0124,real,78,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,98,real,1,,FALSE
40,UID-0040,HHS-ONC-2026-0001-0117,real,72,real,1,,85,real,1,,85,real,1,,92,real,1,,100,real,1,,FALSE
41,UID-0041,HHS-ONC-2026-0001-0138,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
42,UID-0042,HHS-ONC-2026-0001-0349,real,78,real,1,,85,real,1,,85,real,1,,85,real,1,,100,real,1,,FALSE
43,UID-0043,HHS-ONC-2026-0001-0298,real,92,real,1,,95,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
44,UID-0044,HHS-ONC-2026-0001-0058,real,28,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
45,UID-0045,HHS-ONC-2026-0001-0257,real,86,real,1,,90,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
46,UID-0046,HHS-ONC-2026-0001-0096,real,18,synthetic,0,,80,real,1,,20,synthetic,0,,25,synthetic,0,,100,real,1,,TRUE
47,UID-0047,HHS-ONC-2026-0001-0440,real,18,synthetic,0,,80,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
48,UID-0048,HHS-ONC-2026-0001-0243,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
49,UID-0049,HHS-ONC-2026-0001-0095,real,35,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
50,UID-0050,HHS-ONC-2026-0001-0302,real,92,real,1,,80,real,1,,80,real,1,,75,real,1,,98,real,1,,FALSE
51,UID-0051,HHS-ONC-2026-0001-0412,real,78,real,1,,90,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
52,UID-0052,HHS-ONC-2026-0001-0227,real,78,real,1,,95,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
53,UID-0053,HHS-ONC-2026-0001-0125,real,18,synthetic,0,,80,real,1,,60,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
54,UID-0054,SYNTH-0090,synthetic,72,real,0,,85,real,0,,85,real,0,,92,real,0,,20,synthetic,1,,FALSE
55,UID-0055,HHS-ONC-2026-0001-0137,real,92,real,1,,95,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
56,UID-0056,HHS-ONC-2026-0001-0406,real,35,synthetic,0,,85,real,1,,90,real,1,,75,real,1,,100,real,1,,FALSE
57,UID-0057,HHS-ONC-2026-0001-0080,real,18,synthetic,0,,95,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
58,UID-0058,HHS-ONC-2026-0001-0413,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
59,UID-0059,HHS-ONC-2026-0001-0078,real,88,real,1,,90,real,1,,90,real,1,,85,real,1,,0,synthetic,0,,FALSE
60,UID-0060,HHS-ONC-2026-0001-0164,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
61,UID-0061,HHS-ONC-2026-0001-0099,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
62,UID-0062,HHS-ONC-2026-0001-0249,real,72,real,1,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
63,UID-0063,HHS-ONC-2026-0001-0272,real,72,real,1,,80,real,1,,85,real,1,,75,real,1,,0,synthetic,0,,FALSE
64,UID-0064,HHS-ONC-2026-0001-0184,real,35,synthetic,0,,85,real,1,,80,real,1,,75,real,1,,90,real,1,,FALSE
65,UID-0065,HHS-ONC-2026-0001-0233,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,95,real,1,,FALSE
66,UID-0066,HHS-ONC-2026-0001-0068,real,78,real,1,,90,real,1,,90,real,1,,82,real,1,,99,real,1,,FALSE
67,UID-0067,SYNTH-0051,synthetic,35,synthetic,1,,20,synthetic,1,,40,synthetic,1,,75,real,0,,90,real,0,,FALSE
68,UID-0068,SYNTH-0044,synthetic,82,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
69,UID-0069,HHS-ONC-2026-0001-0183,real,86,real,1,,90,real,1,,90,real,1,,82,real,1,,98,real,1,,FALSE
70,UID-0070,HHS-ONC-2026-0001-0381,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,10,synthetic,0,,FALSE
71,UID-0071,HHS-ONC-2026-0001-0267,real,72,real,1,,80,real,1,,85,real,1,,75,real,1,,80,real,1,,FALSE
72,UID-0072,HHS-ONC-2026-0001-0088,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
73,UID-0073,HHS-ONC-2026-0001-0355,real,18,synthetic,0,,90,real,1,,80,real,1,,25,synthetic,0,,90,real,1,,FALSE
74,UID-0074,SYNTH-0023,synthetic,34,synthetic,1,,60,real,0,,60,real,0,,72,real,0,,90,real,0,,FALSE
75,UID-0075,SYNTH-0003,synthetic,28,synthetic,1,,20,synthetic,1,,20,synthetic,1,,75,real,0,,90,real,0,,FALSE
76,UID-0076,HHS-ONC-2026-0001-0027,real,35,synthetic,0,,80,real,1,,85,real,1,,75,real,1,,20,synthetic,0,,FALSE
77,UID-0077,HHS-ONC-2026-0001-0245,real,92,real,1,,90,real,1,,80,real,1,,85,real,1,,90,real,1,,FALSE
78,UID-0078,HHS-ONC-2026-0001-0360,real,78,real,1,,85,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
79,UID-0079,HHS-ONC-2026-0001-0109,real,78,real,1,,85,real,1,,85,real,1,,78,real,1,,95,real,1,,FALSE
80,UID-0080,HHS-ONC-2026-0001-0346,real,92,real,1,,95,real,1,,90,real,1,,75,real,1,,100,real,1,,FALSE
81,UID-0081,HHS-ONC-2026-0001-0385,real,18,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,20,synthetic,0,,TRUE
82,UID-0082,HHS-ONC-2026-0001-0007,real,35,synthetic,0,,80,real,1,,85,real,1,,72,real,1,,10,synthetic,0,,FALSE
83,UID-0083,HHS-ONC-2026-0001-0260,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
84,UID-0084,SYNTH-0047,synthetic,35,synthetic,1,,60,real,0,,60,real,0,,35,synthetic,1,,80,real,0,,FALSE
85,UID-0085,HHS-ONC-2026-0001-0047,real,92,real,1,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
86,UID-0086,HHS-ONC-2026-0001-0273,real,28,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
87,UID-0087,HHS-ONC-2026-0001-0421,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
88,UID-0088,HHS-ONC-2026-0001-0051,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,35,synthetic,0,,10,synthetic,0,,TRUE
89,UID-0089,HHS-ONC-2026-0001-0054,real,22,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,90,real,1,,FALSE
90,UID-0090,HHS-ONC-2026-0001-0314,real,95,real,1,,90,real,1,,95,real,1,,25,synthetic,0,,100,real,1,,FALSE
91,UID-0091,HHS-ONC-2026-0001-0103,real,78,real,1,,95,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
92,UID-0092,HHS-ONC-2026-0001-0066,real,92,real,1,,80,real,1,,85,real,1,,72,real,1,,15,synthetic,0,,FALSE
93,UID-0093,HHS-ONC-2026-0001-0042,real,72,real,1,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
94,UID-0094,HHS-ONC-2026-0001-0148,real,18,synthetic,0,,85,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
95,UID-0095,SYNTH-0030,synthetic,86,real,0,,85,real,0,,85,real,0,,92,real,0,,90,real,0,,FALSE
96,UID-0096,HHS-ONC-2026-0001-0179,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
97,UID-0097,HHS-ONC-2026-0001-0191,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
98,UID-0098,HHS-ONC-2026-0001-0244,real,35,synthetic,0,,60,real,1,,60,real,1,,75,real,1,,90,real,1,,FALSE
99,UID-0099,HHS-ONC-2026-0001-0424,real,18,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
100,UID-0100,HHS-ONC-2026-0001-0114,real,82,real,1,,90,real,1,,90,real,1,,82,real,1,,100,real,1,,FALSE
101,UID-0101,HHS-ONC-2026-0001-0338,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
102,UID-0102,HHS-ONC-2026-0001-0414,real,28,synthetic,0,,80,real,1,,85,real,1,,25,synthetic,0,,85,real,1,,FALSE
103,UID-0103,HHS-ONC-2026-0001-0062,real,18,synthetic,0,,20,synthetic,0,,40,synthetic,0,,72,real,1,,20,synthetic,0,,TRUE
104,UID-0104,HHS-ONC-2026-0001-0395,real,35,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
105,UID-0105,HHS-ONC-2026-0001-0438,real,78,real,1,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,95,real,1,,FALSE
106,UID-0106,SYNTH-0087,synthetic,35,synthetic,1,,80,real,0,,60,real,0,,75,real,0,,90,real,0,,FALSE
107,UID-0107,HHS-ONC-2026-0001-0194,real,86,real,1,,85,real,1,,85,real,1,,92,real,1,,98,real,1,,FALSE
108,UID-0108,HHS-ONC-2026-0001-0427,real,18,synthetic,0,,60,real,1,,85,real,1,,72,real,1,,0,synthetic,0,,FALSE
109,UID-0109,HHS-ONC-2026-0001-0288,real,92,real,1,,95,real,1,,100,real,1,,92,real,1,,90,real,1,,FALSE
110,UID-0110,HHS-ONC-2026-0001-0271,real,72,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
111,UID-0111,SYNTH-0073,synthetic,78,real,0,,85,real,0,,85,real,0,,82,real,0,,90,real,0,,FALSE
112,UID-0112,HHS-ONC-2026-0001-0391,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
113,UID-0113,HHS-ONC-2026-0001-0006,real,28,synthetic,0,,85,real,1,,85,real,1,,82,real,1,,0,synthetic,0,,FALSE
114,UID-0114,HHS-ONC-2026-0001-0083,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
115,UID-0115,SYNTH-0086,synthetic,35,synthetic,1,,60,real,0,,60,real,0,,25,synthetic,1,,90,real,0,,FALSE
116,UID-0116,SYNTH-0097,synthetic,72,real,0,,90,real,0,,90,real,0,,92,real,0,,95,real,0,,FALSE
117,UID-0117,HHS-ONC-2026-0001-0420,real,28,synthetic,0,,85,real,1,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
118,UID-0118,SYNTH-0099,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,25,synthetic,1,,20,synthetic,1,,FALSE
119,UID-0119,HHS-ONC-2026-0001-0040,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,99,real,1,,FALSE
120,UID-0120,HHS-ONC-2026-0001-0053,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
121,UID-0121,HHS-ONC-2026-0001-0063,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,82,real,1,,0,synthetic,0,,TRUE
122,UID-0122,HHS-ONC-2026-0001-0250,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,20,synthetic,0,,TRUE
123,UID-0123,HHS-ONC-2026-0001-0150,real,78,real,1,,90,real,1,,85,real,1,,92,real,1,,100,real,1,,FALSE
124,UID-0124,HHS-ONC-2026-0001-0442,real,28,synthetic,0,,30,synthetic,0,,40,synthetic,0,,72,real,1,,20,synthetic,0,,TRUE
125,UID-0125,SYNTH-0063,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,75,real,0,,90,real,0,,FALSE
126,UID-0126,HHS-ONC-2026-0001-0343,real,78,real,1,,85,real,1,,90,real,1,,25,synthetic,0,,100,real,1,,FALSE
127,UID-0127,HHS-ONC-2026-0001-0126,real,35,synthetic,0,,30,synthetic,0,,40,synthetic,0,,35,synthetic,0,,95,real,1,,TRUE
128,UID-0128,HHS-ONC-2026-0001-0034,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,5,synthetic,0,,TRUE
129,UID-0129,HHS-ONC-2026-0001-0262,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
130,UID-0130,HHS-ONC-2026-0001-0098,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,100,real,1,,FALSE
131,UID-0131,HHS-ONC-2026-0001-0234,real,78,real,1,,90,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
132,UID-0132,HHS-ONC-2026-0001-0251,real,86,real,1,,90,real,1,,90,real,1,,82,real,1,,100,real,1,,FALSE
133,UID-0133,HHS-ONC-2026-0001-0313,real,78,real,1,,95,real,1,,95,real,1,,85,real,1,,0,synthetic,0,,FALSE
134,UID-0134,SYNTH-0006,synthetic,78,real,0,,90,real,0,,90,real,0,,85,real,0,,95,real,0,,FALSE
135,UID-0135,HHS-ONC-2026-0001-0213,real,35,synthetic,0,,85,real,1,,85,real,1,,35,synthetic,0,,0,synthetic,0,,TRUE
136,UID-0136,SYNTH-0093,synthetic,34,synthetic,1,,80,real,0,,85,real,0,,75,real,0,,90,real,0,,FALSE
137,UID-0137,HHS-ONC-2026-0001-0211,real,78,real,1,,85,real,1,,80,real,1,,85,real,1,,95,real,1,,FALSE
138,UID-0138,SYNTH-0028,synthetic,18,synthetic,1,,20,synthetic,1,,20,synthetic,1,,25,synthetic,1,,90,real,0,,FALSE
139,UID-0139,HHS-ONC-2026-0001-0010,real,18,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
140,UID-0140,HHS-ONC-2026-0001-0093,real,72,real,1,,85,real,1,,80,real,1,,72,real,1,,20,synthetic,0,,FALSE
141,UID-0141,HHS-ONC-2026-0001-0060,real,72,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
142,UID-0142,HHS-ONC-2026-0001-0333,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,72,real,1,,10,synthetic,0,,TRUE
143,UID-0143,HHS-ONC-2026-0001-0022,real,18,synthetic,0,,40,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
144,UID-0144,HHS-ONC-2026-0001-0166,real,88,real,1,,90,real,1,,95,real,1,,85,real,1,,10,synthetic,0,,FALSE
145,UID-0145,HHS-ONC-2026-0001-0387,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,99,real,1,,FALSE
146,UID-0146,HHS-ONC-2026-0001-0375,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,100,real,1,,FALSE
147,UID-0147,HHS-ONC-2026-0001-0186,real,72,real,1,,80,real,1,,60,real,1,,25,synthetic,0,,90,real,1,,FALSE
148,UID-0148,SYNTH-0076,synthetic,78,real,0,,80,real,0,,85,real,0,,75,real,0,,90,real,0,,FALSE
149,UID-0149,SYNTH-0029,synthetic,82,real,0,,90,real,0,,90,real,0,,82,real,0,,95,real,0,,FALSE
150,UID-0150,SYNTH-0009,synthetic,72,real,0,,90,real,0,,90,real,0,,82,real,0,,95,real,0,,FALSE
151,UID-0151,SYNTH-0056,synthetic,78,real,0,,85,real,0,,85,real,0,,82,real,0,,90,real,0,,FALSE
152,UID-0152,SYNTH-0037,synthetic,35,synthetic,1,,85,real,0,,80,real,0,,82,real,0,,95,real,0,,FALSE
153,UID-0153,HHS-ONC-2026-0001-0405,real,78,real,1,,40,synthetic,0,,40,synthetic,0,,35,synthetic,0,,85,real,1,,FALSE
154,UID-0154,SYNTH-0080,synthetic,28,synthetic,1,,40,synthetic,1,,40,synthetic,1,,25,synthetic,1,,20,synthetic,1,,FALSE
155,UID-0155,HHS-ONC-2026-0001-0315,real,78,real,1,,95,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
156,UID-0156,HHS-ONC-2026-0001-0411,real,72,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
157,UID-0157,HHS-ONC-2026-0001-0365,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
158,UID-0158,HHS-ONC-2026-0001-0423,real,18,synthetic,0,,40,synthetic,0,,40,synthetic,0,,25,synthetic,0,,20,synthetic,0,,TRUE
159,UID-0159,HHS-ONC-2026-0001-0172,real,28,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,100,real,1,,FALSE
160,UID-0160,HHS-ONC-2026-0001-0280,real,18,synthetic,0,,85,real,1,,80,real,1,,25,synthetic,0,,99,real,1,,FALSE
161,UID-0161,HHS-ONC-2026-0001-0352,real,92,real,1,,90,real,1,,90,real,1,,92,real,1,,100,real,1,,FALSE
162,UID-0162,HHS-ONC-2026-0001-0102,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
163,UID-0163,HHS-ONC-2026-0001-0028,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
164,UID-0164,HHS-ONC-2026-0001-0018,real,72,real,1,,90,real,1,,90,real,1,,82,real,1,,20,synthetic,0,,FALSE
165,UID-0165,SYNTH-0015,synthetic,35,synthetic,1,,80,real,0,,60,real,0,,75,real,0,,90,real,0,,FALSE
166,UID-0166,HHS-ONC-2026-0001-0231,real,92,real,1,,90,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
167,UID-0167,HHS-ONC-2026-0001-0247,real,35,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,99,real,1,,FALSE
168,UID-0168,HHS-ONC-2026-0001-0158,real,78,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,80,real,1,,FALSE
169,UID-0169,SYNTH-0061,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,78,real,0,,95,real,0,,FALSE
170,UID-0170,HHS-ONC-2026-0001-0081,real,18,synthetic,0,,95,real,1,,80,real,1,,92,real,1,,95,real,1,,FALSE
171,UID-0171,HHS-ONC-2026-0001-0306,real,78,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
172,UID-0172,HHS-ONC-2026-0001-0141,real,92,real,1,,85,real,1,,85,real,1,,92,real,1,,95,real,1,,FALSE
173,UID-0173,HHS-ONC-2026-0001-0448,real,35,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
174,UID-0174,SYNTH-0027,synthetic,78,real,0,,80,real,0,,80,real,0,,82,real,0,,95,real,0,,FALSE
175,UID-0175,SYNTH-0004,synthetic,86,real,0,,90,real,0,,90,real,0,,92,real,0,,100,real,0,,FALSE
176,UID-0176,HHS-ONC-2026-0001-0392,real,35,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,0,synthetic,0,,FALSE
177,UID-0177,HHS-ONC-2026-0001-0274,real,92,real,1,,95,real,1,,95,real,1,,92,real,1,,100,real,1,,FALSE
178,UID-0178,HHS-ONC-2026-0001-0384,real,78,real,1,,90,real,1,,85,real,1,,85,real,1,,100,real,1,,FALSE
179,UID-0179,HHS-ONC-2026-0001-0189,real,18,synthetic,0,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
180,UID-0180,HHS-ONC-2026-0001-0241,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
181,UID-0181,HHS-ONC-2026-0001-0091,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
182,UID-0182,SYNTH-0031,synthetic,72,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
183,UID-0183,HHS-ONC-2026-0001-0434,real,78,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,90,real,1,,FALSE
184,UID-0184,SYNTH-0069,synthetic,78,real,0,,90,real,0,,90,real,0,,92,real,0,,20,synthetic,1,,FALSE
185,UID-0185,HHS-ONC-2026-0001-0342,real,28,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,90,real,1,,FALSE
186,UID-0186,HHS-ONC-2026-0001-0105,real,35,synthetic,0,,80,real,1,,80,real,1,,72,real,1,,95,real,1,,FALSE
187,UID-0187,SYNTH-0041,synthetic,42,synthetic,1,,80,real,0,,80,real,0,,75,real,0,,95,real,0,,FALSE
188,UID-0188,HHS-ONC-2026-0001-0044,real,18,synthetic,0,,80,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
189,UID-0189,HHS-ONC-2026-0001-0332,real,78,real,1,,95,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
190,UID-0190,HHS-ONC-2026-0001-0305,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
191,UID-0191,HHS-ONC-2026-0001-0161,real,92,real,1,,80,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
192,UID-0192,HHS-ONC-2026-0001-0065,real,28,synthetic,0,,40,synthetic,0,,40,synthetic,0,,72,real,1,,95,real,1,,FALSE
193,UID-0193,HHS-ONC-2026-0001-0176,real,35,synthetic,0,,20,synthetic,0,,20,synthetic,0,,35,synthetic,0,,20,synthetic,0,,TRUE
194,UID-0194,HHS-ONC-2026-0001-0359,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
195,UID-0195,HHS-ONC-2026-0001-0104,real,28,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
